source,dest
66,83
81,39
81,83
62,10
93,64
5,35
66,92
62,75
60,65
5,39
72,65
19,35
76,52
96,52
17,80
61,98
26,39
5,83
19,49
1,25
1,80
46,39
31,9
14,7
33,92
23,65
5,80
29,21
76,65
78,59
86,39
29,50
60,97
4,40
4,93
4,60
96,98
93,8
93,9
61,58
61,42
78,39
24,79
13,69
13,80
46,97
46,39
72,87
72,97
41,92
16,74
66,64
4,97
4,75
23,64
46,94
61,77
15,7
61,80
29,83
62,18
44,56
46,52
95,0
96,20
81,39
95,84
95,84
76,59
46,39
13,18
71,66
13,21
5,8
72,7
82,21
54,49
9,59
73,74
55,43
26,64
73,18
73,21
33,7
1,49
29,83
60,28
61,0
72,8
88,91
24,74
5,28
5,7
54,57
96,50
1,75
66,68
96,18
86,87
13,64
13,65
5,18
87,98
14,28
17,77
1,69
1,92
1,77
78,35
86,97
19,21
61,52
96,42
88,75
13,77
86,51
86,43
23,51
61,94
60,98
4,68
23,52
16,49
76,74
96,52
61,20
86,18
87,72
62,65
62,94
15,43
66,41
66,15
54,77
76,8
44,35
96,28
73,74
73,83
66,36
44,49
76,49
76,77
33,42
33,39
23,68
6,69
6,21
60,51
23,77
26,52
95,84
14,42
14,77
1,51
66,65
86,52
44,53
87,35
66,44
66,44
4,28
60,75
71,97
0,35
0,75
33,74
66,21
17,83
76,18
9,75
96,97
14,92
46,91
46,58
46,64
16,69
14,65
1,21
1,64
60,98
33,68
95,0
76,64
14,64
71,58
82,18
71,21
71,21
76,58
1,80
96,18
88,97
60,80
60,49
24,75
12,42
5,58
54,83
73,42
16,98
76,21
23,51
31,94
5,87
15,28
12,74
29,68
44,65
44,45
66,83
41,59
76,64
33,65
9,75
9,64
61,83
61,92
29,35
9,64
31,37
86,8
17,18
71,94
40,39
9,51
9,57
76,64
72,68
17,49
60,57
82,69
55,30
31,68
24,39
33,92
9,58
72,70
96,45
23,98
44,58
24,49
24,49
46,7
6,35
89,68
86,21
19,35
26,24
61,74
31,98
33,68
33,43
46,42
40,74
17,52
60,20
15,18
29,92
62,68
86,80
95,34
4,58
31,58
62,74
62,35
61,92
33,69
14,42
14,83
15,90
93,98
33,83
1,92
17,74
16,66
9,68
9,75
9,51
40,39
16,74
78,43
78,49
76,39
76,39
19,83
54,83
72,94
5,21
89,68
33,98
62,8
1,65
17,77
4,35
46,7
24,58
19,94
0,44
23,69
72,75
26,35
24,68
93,64
87,47
41,94
78,91
6,98
6,42
33,75
93,72
46,64
54,75
93,65
62,38
14,77
73,68
73,52
73,75
76,97
4,35
4,49
9,57
9,64
6,74
96,52
19,65
40,2
5,49
66,52
44,58
60,42
93,60
17,75
17,43
81,31
14,75
60,28
76,97
33,37
72,74
82,8
72,57
72,97
23,8
14,27
14,8
14,28
16,83
89,18
60,69
88,20
88,92
44,69
93,42
88,39
29,74
19,75
19,43
84,8
24,58
4,92
9,98
87,64
93,42
1,68
6,98
54,83
33,42
24,51
6,98
78,39
13,94
55,8
23,51
61,70
0,88
0,17
29,98
89,20
1,64
4,16
46,91
46,39
60,68
73,39
13,18
89,69
44,74
76,8
23,20
55,92
55,80
60,8
61,99
82,97
15,83
15,95
82,80
82,49
66,97
87,28
87,24
55,80
71,75
71,75
87,39
26,28
66,98
14,92
89,28
76,7
19,17
19,43
6,21
6,42
78,77
82,52
44,51
13,21
62,44
55,75
5,16
26,97
93,13
82,62
88,52
5,94
5,39
71,75
71,98
12,98
89,58
84,35
89,18
95,76
54,52
16,21
14,68
0,49
0,21
23,42
23,77
23,72
17,18
1,42
44,83
78,6
62,68
54,45
40,8
15,58
15,58
31,97
71,59
46,52
62,94
88,77
93,94
23,17
44,51
82,97
4,34
24,39
78,69
78,28
71,5
71,5
62,8
82,35
88,68
84,8
81,33
12,21
84,69
29,98
60,58
54,64
93,71
60,20
88,77
13,51
16,68
4,80
