source,dest
6,43
41,28
41,36
37,34
26,64
47,83
91,75
98,61
47,4
47,85
47,57
47,11
5,46
5,37
5,39
92,7
43,14
43,26
43,61
65,95
65,44
15,24
10,69
46,6
25,99
25,33
25,50
0,6
0,80
0,52
60,75
14,60
52,91
52,96
19,85
19,24
19,84
19,12
71,6
71,73
71,47
71,8
47,76
47,18
47,1
35,15
72,68
72,52
96,8
96,68
89,28
81,88
85,19
85,97
93,14
93,99
65,68
65,5
84,19
84,73
73,74
96,47
96,14
60,69
79,49
79,75
79,69
11,88
11,8
11,52
29,33
72,33
72,5
72,34
33,13
68,89
68,43
65,7
17,26
17,6
17,20
50,77
31,73
30,95
41,2
41,99
12,36
12,75
14,37
60,14
37,26
19,10
19,4
19,77
19,90
99,63
40,97
40,50
16,99
16,52
82,2
82,73
72,75
24,73
24,52
31,6
58,26
82,70
82,75
82,95
60,75
73,83
71,88
71,48
99,45
77,28
77,95
77,19
77,75
40,49
52,85
52,94
52,39
52,91
52,81
52,72
52,76
52,91
69,17
69,39
10,99
10,49
31,50
29,22
2,81
2,85
2,38
40,48
45,66
45,47
45,78
60,2
13,48
73,9
73,43
88,20
42,87
14,76
1,88
15,41
68,1
0,19
26,55
14,74
14,92
14,72
14,24
35,55
29,6
29,6
82,34
31,6
31,70
31,14
76,53
72,28
72,69
72,73
61,13
61,0
17,47
17,19
17,47
37,2
61,81
61,56
43,45
40,15
40,97
69,24
69,46
69,12
69,41
73,1
73,98
73,93
3,62
71,52
71,28
70,60
98,48
90,52
25,28
25,99
37,2
37,66
81,33
99,89
99,4
99,43
67,34
51,22
94,59
23,22
23,27
74,19
88,58
67,70
57,73
57,34
16,15
16,49
86,54
92,21
1,2
52,12
52,84
11,48
70,71
70,83
92,95
98,33
98,69
98,97
41,32
41,5
41,33
-99,-99
7,28
7,6
37,43
37,19
37,31
80,64
80,96
5,49
49,5
49,54
17,29
17,39
17,82
39,47
39,34
39,66
17,10
76,71
77,4
0,53
36,2
36,34
34,60
34,41
34,13
34,79
16,73
16,90
16,54
19,12
17,23
17,35
43,68
43,85
43,47
39,87
15,32
50,95
24,70
24,91
24,18
5,61
5,84
42,71
11,87
7,34
17,77
50,85
50,98
99,43
99,24
23,46
93,71
61,99
25,18
49,65
49,71
6,76
69,11
17,44
72,56
72,91
35,73
35,34
35,3
68,88
86,26
85,39
85,92
9,45
9,21
25,62
50,64
48,65
48,68
71,59
5,15
5,82
88,70
96,21
83,84
16,90
16,85
63,41
86,17
20,85
9,16
9,49
20,71
89,47
89,87
89,4
89,73
42,65
42,14
87,89
87,31
33,5
16,4
96,95
10,99
9,49
9,27
96,7
96,20
15,73
15,12
40,12
9,35
9,36
9,21
96,77
96,44
96,15
1,49
74,52
74,47
74,87
64,38
64,58
64,72
64,97
64,43
24,14
40,4
40,5
40,32
40,34
14,7
36,65
36,17
92,9
92,98
51,68
51,59
65,33
80,37
80,73
10,4
61,68
44,66
43,5
61,65
13,17
79,98
38,85
38,34
54,74
42,64
78,91
78,99
78,66
78,17
46,10
46,77
59,22
97,12
6,32
24,1
83,8
83,76
34,86
34,44
34,30
66,84
42,37
42,75
72,12
17,94
17,48
92,87
43,1
43,57
81,66
81,32
55,67
83,19
99,50
99,84
99,6
37,31
37,43
8,2
8,4
8,12
8,91
1,58
32,84
78,69
-99,-99
79,5
32,97
61,51
61,1
61,32
76,25
33,91
33,11
1,69
56,64
56,98
96,50
65,9
65,7
7,39
21,25
21,64
21,19
52,71
54,11
54,69
54,53
54,71
9,49
9,62
9,51
33,48
33,89
93,94
72,64
54,33
54,57
31,67
31,75
31,85
31,3
31,33
68,81
68,98
68,24
68,1
81,28
81,57
66,49
66,49
66,71
82,94
82,64
3,91
3,2
3,94
3,34
1,85
10,49
15,65
15,45
15,64
70,32
78,69
78,51
96,62
96,49
62,63
62,58
3,2
88,32
35,91
35,48
35,19
80,94
80,98
80,91
73,91
82,64
83,38
71,4
71,29
71,92
53,36
85,68
85,16
85,8
89,90
89,14
89,18
89,44
93,12
2,87
2,92
2,36
2,78
89,87
89,43
89,5
78,62
47,27
47,94
53,80
53,57
90,48
90,69
37,19
37,64
37,53
44,27
44,69
44,95
47,2
40,19
40,94
40,19
40,2
56,77
32,93
95,57
95,6
39,51
93,30
93,83
99,91
99,65
99,11
36,34
0,42
27,9
72,27
72,13
2,52
2,76
2,87
2,68
36,51
36,2
84,2
84,81
79,66
10,79
10,62
37,81
95,14
95,84
95,44
95,85
95,44
97,62
32,46
81,76
37,89
37,69
37,17
37,62
16,62
16,49
16,53
68,81
10,95
10,62
10,54
10,11
37,49
37,62
95,12
95,80
29,2
29,98
29,55
60,19
29,1
12,20
98,70
23,2
23,25
54,11
52,41
4,95
4,81
68,79
68,62
83,87
83,60
83,73
83,15
83,15
83,60
80,81
80,48
80,49
14,27
14,65
22,32
22,95
22,45
60,25
60,91
10,83
6,45
6,98
6,95
6,98
74,91
61,27
61,53
95,36
95,33
19,21
19,8
29,79
36,81
36,48
69,67
69,37
69,68
69,33
27,59
27,22
27,5
70,81
60,16
60,52
18,81
18,48
88,11
88,81
88,89
88,49
88,26
76,51
76,79
53,56
5,27
61,26
61,34
61,65
51,99
51,61
16,89
61,51
61,62
28,95
28,71
28,86
28,69
-99,-99
8,53
8,16
8,85
79,62
61,16
61,39
61,6
61,49
81,74
30,50
30,74
30,49
57,68
94,65
68,31
68,57
68,17
68,77
38,15
38,13
91,4
91,0
91,50
18,96
18,32
18,38
29,33
29,3
59,53
59,93
59,56
59,29
47,72
11,8
96,87
59,70
59,63
4,78
90,85
5,50
5,38
26,96
17,69
17,95
17,62
17,95
17,95
17,68
17,76
26,99
26,67
2,43
50,64
57,2
5,55
5,52
5,49
3,67
50,26
84,62
84,15
84,53
84,38
46,49
70,79
70,61
10,76
86,39
13,55
74,81
74,35
74,61
67,73
67,61
72,78
72,80
72,33
19,99
19,76
76,30
1,20
1,67
76,17
76,31
76,21
76,30
76,81
76,73
23,50
23,4
23,20
23,72
23,76
85,59
85,89
85,64
42,52
26,50
58,76
58,55
76,47
76,22
71,35
71,84
71,44
71,24
56,75
56,1
56,24
56,83
56,92
56,22
56,8
72,40
95,86
58,4
10,85
57,20
79,16
79,11
50,97
75,49
75,53
75,32
3,55
59,71
59,15
16,88
13,38
13,74
13,4
41,96
41,96
5,85
5,85
5,55
5,16
73,26
19,70
82,12
13,20
13,70
13,29
3,39
39,54
22,7
22,16
22,93
22,99
75,69
32,18
64,96
62,33
62,28
78,93
88,66
20,1
57,0
57,2
71,41
71,30
71,37
25,31
25,35
25,5
25,34
25,46
25,57
25,23
25,19
30,85
30,39
30,62
88,55
88,85
24,68
24,2
27,38
27,16
