source,dest
82,14
82,81
82,57
82,18
82,62
82,51
82,29
82,52
82,94
82,64
82,93
29,12
29,46
66,45
98,87
47,49
65,18
96,83
22,76
71,43
36,59
29,76
33,80
29,21
81,11
38,30
3,31
18,30
18,98
57,32
82,76
16,44
81,43
20,77
42,37
67,23
17,4
4,65
54,69
76,42
48,74
92,3
38,14
84,29
33,62
99,1
27,63
89,33
50,37
37,39
83,82
55,96
55,46
48,58
82,44
57,73
83,43
42,65
42,36
66,21
66,35
28,75
65,21
77,98
10,97
69,0
70,52
11,15
79,93
90,18
68,74
90,79
65,94
65,24
46,22
10,94
83,74
83,80
96,12
96,61
42,39
50,19
65,5
76,82
76,77
77,48
74,44
79,69
90,52
88,71
85,19
38,99
2,31
52,81
22,40
22,2
22,35
88,94
71,56
51,71
63,49
56,8
81,48
9,91
84,34
82,2
82,5
82,43
82,3
86,58
70,60
24,26
33,61
85,71
60,27
13,89
30,82
6,68
5,95
35,39
99,62
54,53
72,78
90,75
48,18
64,53
93,52
26,67
12,25
71,41
76,72
38,20
-99,-99
79,94
14,24
37,73
63,31
40,80
40,45
95,59
3,17
79,35
76,66
76,34
76,75
75,96
14,13
96,30
92,64
50,71
75,4
55,16
57,96
4,17
16,14
89,86
50,4
60,95
51,66
67,35
67,72
86,6
65,73
87,62
87,35
31,65
66,65
75,48
9,32
26,70
43,5
43,90
31,74
31,18
3,74
47,43
28,35
14,98
91,4
81,41
76,28
19,89
59,51
21,93
14,52
12,3
88,3
19,44
19,54
63,84
63,57
51,29
81,43
62,1
42,3
96,78
44,81
44,11
93,96
86,98
67,77
53,14
54,40
69,20
88,92
88,31
88,15
99,12
96,80
52,68
19,70
3,2
3,23
66,91
15,4
19,98
36,14
16,80
49,27
47,51
3,65
84,61
84,97
43,13
43,80
17,39
21,46
17,8
18,31
0,72
55,22
68,85
28,13
9,38
9,72
37,4
90,95
75,82
16,59
33,30
53,70
53,14
71,24
98,61
90,6
3,74
77,1
24,46
45,37
8,7
8,68
15,58
15,3
42,54
83,5
56,25
56,82
61,10
89,23
98,88
83,9
83,3
50,43
20,86
57,43
82,18
4,16
4,8
-99,-99
37,97
52,38
73,21
73,27
73,62
10,90
23,9
43,96
71,44
31,12
7,89
40,21
3,54
19,20
45,3
45,58
92,65
92,26
83,76
34,57
37,88
37,12
28,54
39,28
78,67
14,25
69,46
77,78
12,78
73,0
2,23
82,19
32,98
68,72
39,81
96,14
93,41
30,36
29,87
86,57
77,73
83,21
48,6
1,51
43,92
43,3
13,76
13,4
24,69
20,95
20,80
69,85
64,45
64,85
63,22
63,6
74,86
47,37
