source,dest
99,14
98,19
95,23
94,24
97,21
96,22
99,14
98,19
95,23
94,24
97,21
96,22
88,14
89,26
92,18
93,16
93,16
89,26
90,24
91,20
79,28
92,18
81,26
80,27
90,24
85,18
91,20
87,15
86,17
83,24
82,25
84,22
81,26
79,28
88,14
80,27
87,15
85,18
86,17
82,25
45,26
50,16
83,24
84,22
43,29
44,27
43,29
48,19
49,17
51,15
49,17
44,27
51,15
47,22
45,26
46,23
30,29
50,16
48,19
40,17
31,28
32,27
40,17
33,26
33,26
46,23
41,16
47,22
30,29
41,16
34,25
38,19
35,23
10,17
12,15
34,25
36,22
39,18
11,16
12,15
31,28
32,27
11,16
37,20
0,29
42,14
10,17
3,25
35,23
39,18
36,22
38,19
42,14
37,20
2,27
1,28
2,27
28,15
4,24
27,16
0,29
26,17
5,23
3,25
6,22
7,21
17,26
26,17
17,26
16,27
9,19
8,20
1,28
27,16
16,27
4,24
6,22
5,23
7,21
18,25
13,14
9,19
8,20
19,24
18,17
15,28
25,26
14,29
28,15
21,22
15,28
19,16
20,23
24,27
22,21
21,22
25,18
22,21
24,19
13,14
23,20
18,25
25,18
19,24
24,19
20,23
23,20
29,14
20,15
14,29
29,14
23,28
14,21
29,22
17,18
26,25
16,19
18,17
25,26
17,18
26,25
19,16
16,19
15,20
28,23
27,24
20,15
23,28
15,20
24,27
28,23
27,24
22,29
21,14
29,22
22,29
14,21
21,14
21,18
20,19
14,17
29,26
15,16
22,25
16,15
28,27
15,16
19,20
16,15
27,28
23,24
20,19
19,20
24,23
28,27
27,28
23,24
24,23
26,29
25,22
17,14
18,21
29,26
14,17
26,29
22,25
17,14
25,22
21,18
18,21
17,16
14,15
26,27
29,28
21,20
18,19
25,24
22,23
27,26
16,17
15,14
24,25
26,27
28,29
17,16
23,22
27,26
16,17
14,15
25,24
20,21
15,14
29,28
24,25
22,23
19,18
28,29
23,22
21,20
18,19
20,21
19,18
26,27
27,26
29,28
28,29
28,26
26,28
22,26
22,23
21,20
17,16
20,21
18,19
23,22
18,20
14,15
16,17
19,18
25,24
24,22
