source,dest
39,75
75,71
75,71
75,39
3,71
61,42
75,3
71,75
3,39
75,39
98,30
92,40
75,3
71,75
75,71
39,71
75,71
83,3
39,75
75,71
75,39
71,3
75,71
3,71
3,71
40,55
75,3
75,71
71,75
39,75
75,71
71,3
71,75
71,75
92,96
39,71
3,71
75,39
40,79
39,71
71,75
63,97
74,5
39,3
3,71
71,75
3,71
57,3
10,54
3,75
75,71
39,71
71,39
39,75
39,75
39,75
39,71
75,71
75,71
75,3
39,3
75,71
75,3
75,71
71,75
10,54
75,39
71,39
3,75
3,75
36,3
45,75
5,15
63,50
39,75
71,39
3,75
3,75
62,39
75,71
75,71
71,39
75,3
71,75
39,75
13,75
75,71
71,75
39,75
75,39
71,39
39,71
99,3
75,71
75,3
10,30
71,3
71,75
71,75
39,3
46,89
3,75
71,75
77,39
71,3
78,36
79,3
3,71
75,71
71,98
75,39
75,39
39,71
75,71
75,39
75,71
39,71
75,71
75,71
39,3
9,75
77,71
3,75
71,75
75,71
75,3
75,71
39,71
39,71
3,75
71,75
9,80
75,71
75,39
71,75
75,3
5,15
39,71
3,9
75,71
39,75
39,3
39,75
75,71
27,3
75,71
66,39
71,39
75,71
75,71
75,71
75,39
75,71
75,3
75,71
10,67
39,75
3,39
9,75
98,71
3,75
75,39
75,71
75,3
3,75
39,71
3,71
3,39
75,71
8,85
75,39
75,71
71,75
75,71
75,71
71,3
39,3
75,71
39,75
75,71
71,75
75,71
80,42
75,71
71,75
4,39
75,39
57,3
75,3
75,71
75,71
75,71
97,40
75,71
39,71
71,75
71,39
58,25
75,71
71,3
39,71
75,39
39,71
85,71
71,75
71,39
3,39
40,31
71,75
95,80
8,94
71,75
49,74
75,71
39,75
75,39
71,39
39,71
95,3
39,75
39,75
39,75
75,39
75,3
3,71
71,75
71,75
75,71
71,3
39,71
71,75
3,39
75,3
75,71
75,3
75,71
75,39
71,75
75,71
30,8
75,39
77,97
98,15
71,75
71,39
77,75
75,3
40,31
8,51
36,71
3,75
71,3
3,39
2,39
75,99
3,71
39,75
71,39
67,63
39,75
94,71
75,39
75,71
36,3
44,39
3,71
3,71
94,71
41,39
3,75
75,3
1,3
75,71
75,3
71,3
71,39
63,39
75,71
3,75
75,39
71,75
3,71
3,75
69,3
71,3
63,85
75,71
71,75
2,40
71,3
75,71
3,71
75,71
5,15
75,71
71,75
75,71
75,3
39,71
3,71
75,71
71,39
39,3
21,3
65,9
75,3
71,75
75,3
39,75
75,71
39,71
38,71
75,71
75,71
3,75
75,3
75,3
75,71
75,71
71,75
3,71
75,29
75,39
75,71
39,75
39,3
91,71
3,75
57,3
3,71
71,3
9,80
61,71
75,3
71,3
71,75
75,71
98,76
75,71
75,3
34,39
39,3
26,40
71,39
39,75
39,75
39,71
75,71
75,71
71,75
75,39
39,71
71,75
71,75
75,71
75,71
75,71
39,75
75,71
3,71
75,71
75,39
75,71
75,39
75,71
46,89
3,71
71,3
66,74
75,71
71,75
