source,dest
2,85
2,85
2,85
2,85
2,85
2,85
2,85
38,53
38,53
38,53
38,53
38,53
38,53
38,53
0,49
0,49
0,49
0,49
0,49
0,49
0,49
19,60
19,60
19,60
19,60
19,60
19,60
19,60
94,33
86,12
94,33
94,33
94,33
94,33
86,12
86,12
94,33
86,12
94,33
86,12
86,12
86,12
30,0
30,0
30,0
30,0
30,0
30,0
30,0
95,76
74,1
95,76
95,76
95,76
95,76
95,76
95,76
74,1
74,1
74,1
74,1
74,1
74,1
37,50
37,50
37,50
37,50
37,50
37,50
37,50
34,83
34,83
34,83
34,83
34,83
34,83
34,83
74,88
74,88
74,88
74,88
74,88
74,88
74,88
64,57
64,57
64,57
64,57
64,57
64,57
64,57
88,68
88,68
88,68
88,68
88,68
88,68
88,68
62,15
62,15
62,15
53,94
62,15
62,15
62,15
62,15
53,94
53,94
53,94
53,94
53,94
53,94
30,52
30,52
30,52
30,52
30,52
30,52
30,52
85,99
11,28
36,43
85,99
85,99
93,75
85,99
85,99
85,99
85,99
11,28
11,28
11,28
36,43
36,43
11,28
36,43
11,28
36,43
11,28
36,43
36,43
93,75
93,75
93,75
93,75
93,75
93,75
83,6
83,6
83,6
83,6
91,5
83,6
83,6
83,6
91,5
91,5
91,5
91,5
91,5
91,5
38,70
44,82
33,25
38,70
38,70
38,70
44,82
44,82
38,70
44,82
38,70
33,25
33,25
44,82
38,70
33,25
44,82
33,25
44,82
33,25
33,25
54,5
61,58
54,5
54,5
54,5
54,5
61,58
61,58
54,5
61,58
54,5
61,58
61,58
61,58
86,23
86,23
86,23
86,23
86,23
86,23
86,23
76,5
47,80
76,5
76,5
5,98
47,80
76,5
47,80
76,5
47,80
76,5
47,80
76,5
47,80
47,80
5,98
5,98
5,98
5,98
5,98
5,98
46,14
39,9
72,66
46,14
46,14
46,14
39,9
39,9
46,14
72,66
72,66
39,9
46,14
72,66
39,9
46,14
72,66
39,9
72,66
39,9
72,66
38,29
38,29
38,29
38,29
38,29
38,29
38,29
98,0
98,0
98,0
98,0
98,0
98,0
98,0
99,26
99,26
99,26
99,26
99,26
99,26
99,26
22,36
22,36
22,36
22,36
22,36
22,36
22,36
97,8
72,52
53,71
97,8
97,8
97,8
97,8
97,8
7,17
97,8
72,52
72,52
53,71
53,71
72,52
53,71
72,52
53,71
72,52
53,71
72,52
53,71
7,17
7,17
7,17
7,17
7,17
7,17
83,34
83,34
83,34
83,34
83,34
83,34
83,34
2,40
97,3
91,11
79,22
2,40
2,40
97,3
2,40
97,3
2,40
97,3
2,40
97,3
91,11
91,11
2,40
97,3
79,22
79,22
91,11
97,3
79,22
91,11
79,22
91,11
79,22
91,11
79,22
21,1
21,1
21,1
21,1
21,1
21,1
21,1
45,89
50,62
45,89
45,89
45,89
45,89
45,89
45,89
50,62
50,62
50,62
50,62
50,62
50,62
55,34
55,34
55,34
55,34
55,34
55,34
55,34
63,22
63,22
63,22
63,22
63,22
63,22
63,22
13,82
13,82
13,82
13,82
13,82
13,82
13,82
34,90
34,90
34,90
34,90
34,90
34,90
34,90
10,0
10,0
10,0
10,0
95,89
10,0
10,0
10,0
95,89
95,89
95,89
95,89
95,89
95,89
99,86
67,4
38,41
99,86
99,86
99,86
99,86
99,86
99,86
24,0
67,4
67,4
67,4
38,41
38,41
67,4
38,41
67,4
38,41
67,4
38,41
38,41
2,86
24,0
24,0
24,0
24,0
24,0
24,0
2,86
2,86
2,86
2,86
2,86
2,86
46,60
55,78
46,60
46,60
46,60
51,0
46,60
55,78
55,78
46,60
55,78
46,60
55,78
55,78
55,78
51,0
51,0
51,0
51,0
51,0
51,0
20,24
20,24
20,24
20,24
20,24
20,24
20,24
56,32
56,32
56,32
56,32
56,32
56,32
56,32
95,18
59,35
95,18
95,18
95,18
95,18
95,18
59,35
59,35
95,18
59,35
59,35
59,35
59,35
70,8
70,8
70,8
70,8
70,8
70,8
70,8
64,92
64,92
64,92
64,92
64,92
64,92
64,92
77,84
77,84
77,84
77,84
77,84
77,84
77,84
34,56
34,56
34,56
34,56
34,56
34,56
34,56
11,46
11,46
11,46
11,46
11,46
11,46
11,46
36,97
58,73
36,97
36,97
36,97
36,97
58,73
58,73
36,97
58,73
36,97
58,73
58,73
58,73
88,59
88,59
88,59
88,59
88,59
88,59
88,59
91,10
91,10
91,10
91,10
91,10
91,10
91,10
59,78
27,99
1,39
59,78
59,78
59,78
59,78
59,78
59,78
27,99
27,99
1,39
1,39
27,99
1,39
27,99
1,39
27,99
1,39
27,99
1,39
0,18
0,18
0,18
0,18
0,18
0,18
0,18
60,96
60,96
60,96
60,96
60,96
60,96
60,96
31,15
69,86
31,15
31,15
31,15
69,86
69,86
31,15
69,86
31,15
69,86
31,15
69,86
69,86
31,93
91,81
31,93
31,93
31,93
31,93
31,93
31,93
91,81
91,81
91,81
91,81
91,81
91,81
1,21
1,21
1,21
1,21
1,21
1,21
1,21
79,49
65,42
98,5
79,49
79,49
79,49
79,49
79,49
79,49
65,42
65,42
65,42
98,5
98,5
65,42
98,5
65,42
98,5
65,42
98,5
98,5
48,91
48,91
48,91
48,91
48,91
48,91
48,91
8,87
8,87
8,87
8,87
8,87
8,87
8,87
25,37
25,37
25,37
25,37
25,37
25,37
25,37
9,79
9,79
9,79
9,79
9,79
9,79
9,79
19,83
45,46
19,83
19,83
19,83
19,83
19,83
19,83
45,46
45,46
45,46
45,46
45,46
45,46
59,39
59,39
59,39
59,39
59,39
59,39
59,39
68,96
75,63
25,52
68,96
68,96
68,96
75,63
75,63
68,96
75,63
68,96
75,63
40,23
68,96
75,63
75,63
94,70
25,52
25,52
25,52
25,52
25,52
25,52
40,23
40,23
40,23
40,23
94,70
94,70
40,23
94,70
40,23
94,70
94,70
94,70
78,1
78,1
78,1
78,1
78,1
78,1
78,1
48,44
48,44
48,44
48,44
48,44
48,44
48,44
32,75
32,75
32,75
32,75
32,75
32,75
32,75
52,16
52,16
52,16
52,16
52,16
52,16
52,16
-99,-99
7,79
30,9
22,81
71,39
83,78
76,0
9,50
58,75
59,21
92,13
28,80
49,48
64,87
35,84
35,92
6,69
45,32
32,15
17,1
60,29
67,76
75,54
97,90
29,23
53,46
99,94
43,4
57,36
46,6
18,71
68,63
88,20
40,34
14,42
45,27
72,10
36,95
26,55
3,89
55,66
38,64
81,62
24,52
59,18
52,82
91,14
2,3
90,41
56,37
68,56
62,2
12,19
70,38
19,93
86,51
7,79
71,39
76,0
30,9
9,50
22,81
7,78
58,75
59,21
92,13
28,80
49,48
64,87
35,84
6,69
17,1
32,15
60,29
67,76
75,54
29,23
97,90
99,94
43,4
53,46
57,36
46,6
18,71
88,20
40,34
14,42
45,27
72,10
36,95
3,89
26,55
55,66
38,64
52,82
81,62
90,41
24,52
59,18
56,37
91,14
2,3
68,56
62,2
19,93
86,51
7,79
70,38
12,19
71,39
76,0
9,50
30,9
22,81
83,78
92,13
28,80
67,75
49,48
64,87
35,84
6,69
17,1
32,15
60,29
75,54
29,44
29,23
99,94
97,90
43,4
67,85
53,46
57,36
46,6
18,71
88,20
40,34
14,42
45,27
72,10
36,95
3,89
55,66
26,55
35,91
38,64
52,82
90,41
56,37
81,62
24,52
59,18
91,14
2,3
68,56
62,2
86,57
19,93
86,51
7,79
71,39
76,0
70,38
9,50
12,19
92,13
28,80
30,9
22,81
83,78
67,75
49,48
64,87
35,84
6,69
17,1
32,15
45,29
75,54
29,23
99,94
43,4
97,90
53,46
7,77
57,36
46,6
18,71
88,20
40,34
14,42
45,27
72,10
36,95
3,89
55,66
26,55
52,82
90,41
56,37
38,64
81,62
59,18
91,14
2,3
24,52
68,56
62,2
19,93
86,51
7,79
71,39
76,0
9,50
70,38
12,19
29,30
92,13
28,80
30,9
6,74
22,81
49,48
64,87
83,78
35,84
67,75
6,69
17,1
67,86
32,15
75,54
22,72
60,29
29,23
99,94
43,4
97,90
53,46
57,36
46,6
88,20
18,71
40,34
14,42
45,27
72,10
36,95
3,89
55,66
53,63
26,55
52,82
90,41
56,37
38,64
81,62
59,18
91,14
2,3
24,52
19,93
86,51
7,79
68,56
71,39
62,2
76,0
9,50
92,13
28,80
70,38
12,19
49,48
64,87
35,84
30,9
22,81
83,78
67,75
6,69
17,1
75,54
29,23
60,29
32,15
99,94
43,4
97,90
53,46
57,36
88,20
40,34
46,6
18,71
14,42
45,27
72,10
36,95
3,89
55,66
46,8
26,55
52,82
14,41
56,37
78,96
38,64
81,62
59,18
19,93
86,51
92,14
2,3
7,79
86,52
71,39
76,0
68,56
24,50
62,2
92,13
28,80
2,5
70,38
49,48
64,87
35,84
12,19
30,9
6,69
22,81
83,78
67,75
17,1
67,76
75,54
29,23
32,15
99,94
43,4
60,29
57,43
97,90
9,59
